datetime,pm10_dusttrack
2017-04-17 16:00:00,0.02115000000000001
2017-04-17 17:00:00,0.021300000000000006
2017-04-17 18:00:00,0.022166666666666675
2017-04-17 19:00:00,0.015633333333333343
2017-04-17 20:00:00,0.014633333333333342
2017-04-17 21:00:00,0.013100000000000007
2017-04-17 22:00:00,0.012933333333333342
2017-04-17 23:00:00,0.012700000000000006
2017-04-18 00:00:00,0.013100000000000007
2017-04-18 01:00:00,0.014466666666666676
2017-04-18 02:00:00,0.01500000000000001
2017-04-18 03:00:00,0.014533333333333343
2017-04-18 04:00:00,0.018766666666666678
2017-04-18 05:00:00,0.019466666666666674
2017-04-18 06:00:00,0.01650000000000001
2017-04-18 07:00:00,0.01760000000000001
2017-04-18 08:00:00,0.02736666666666668
2017-04-18 09:00:00,0.03873333333333333
2017-04-18 10:00:00,0.027266666666666682
2017-04-18 11:00:00,0.031466666666666684
2017-04-18 12:00:00,0.028000000000000018
2017-04-18 13:00:00,0.018266666666666674
2017-04-18 14:00:00,0.022600000000000012
2017-04-18 15:00:00,0.017766666666666677
2017-04-18 16:00:00,0.017925925925925935
2017-04-18 17:00:00,0.019766666666666675
2017-04-18 18:00:00,0.019566666666666673
2017-04-18 19:00:00,0.01913333333333334
2017-04-18 20:00:00,0.01873333333333334
2017-04-18 21:00:00,0.01660000000000001
2017-04-18 22:00:00,0.01243333333333334
2017-04-18 23:00:00,0.011400000000000004
2017-04-19 00:00:00,0.008766666666666673
2017-04-19 01:00:00,0.008700000000000006
2017-04-19 02:00:00,0.010733333333333338
2017-04-19 03:00:00,0.011200000000000005
2017-04-19 04:00:00,0.011533333333333338
2017-04-19 05:00:00,0.013166666666666675
2017-04-19 06:00:00,0.013233333333333342
2017-04-19 07:00:00,0.016400000000000012
2017-04-19 08:00:00,0.01803333333333334
2017-04-19 09:00:00,0.02123333333333334
2017-04-19 10:00:00,0.01690000000000001
2017-04-19 11:00:00,0.024100000000000014
2017-04-19 12:00:00,0.025133333333333344
2017-04-19 13:00:00,0.023133333333333343
2017-04-19 14:00:00,0.02360000000000001
2017-04-19 15:00:00,0.02326666666666668
2017-04-19 16:00:00,0.022035714285714294
2017-04-19 17:00:00,0.02150000000000001
2017-04-19 18:00:00,0.02480000000000001
2017-04-19 19:00:00,0.02950000000000002
2017-04-19 20:00:00,0.026800000000000015
2017-04-19 21:00:00,0.025366666666666683
2017-04-19 22:00:00,0.027466666666666684
2017-04-19 23:00:00,0.027666666666666683
2017-04-20 00:00:00,0.026966666666666684
2017-04-20 01:00:00,0.027166666666666683
2017-04-20 02:00:00,0.027766666666666683
2017-04-20 03:00:00,0.026500000000000017
2017-04-20 04:00:00,0.028933333333333353
2017-04-20 05:00:00,0.026166666666666682
2017-04-20 06:00:00,0.027533333333333347
2017-04-20 07:00:00,0.033466666666666686
2017-04-20 08:00:00,0.03883333333333335
2017-04-20 09:00:00,0.050033333333333346
2017-04-20 10:00:00,0.037500000000000006
2017-04-20 11:00:00,0.023300000000000008
2017-04-20 12:00:00,0.022333333333333347
2017-04-20 13:00:00,0.017600000000000008
2017-04-20 14:00:00,0.019600000000000006
2017-04-20 15:00:00,0.019500000000000007
2017-04-20 16:00:00,0.018666666666666668
