datetime,pm10
2017-04-17 16:00:00,177834.4935064935
2017-04-17 18:00:00,102248.77470355731
2017-04-17 20:00:00,118008.28346456694
2017-04-17 22:00:00,128929.46456692913
2017-04-18 00:00:00,127065.89723320158
2017-04-18 02:00:00,113758.67716535433
2017-04-18 04:00:00,133147.0671936759
2017-04-18 06:00:00,137851.87401574804
2017-04-18 08:00:00,115819.5748031496
2017-04-18 10:00:00,142922.54545454544
2017-04-18 12:00:00,121381.35458167331
2017-04-18 14:00:00,152892.1739130435
2017-04-18 16:00:00,99973.1699604743
2017-04-18 18:00:00,84673.79527559056
2017-04-18 20:00:00,106010.07114624506
2017-04-18 22:00:00,85663.52755905512
2017-04-19 00:00:00,53179.71653543307
2017-04-19 02:00:00,76242.75098814229
2017-04-19 04:00:00,93593.85826771654
2017-04-19 06:00:00,118705.81102362205
2017-04-19 08:00:00,113697.23320158102
2017-04-19 10:00:00,131039.32283464567
2017-04-19 12:00:00,142479.25099601594
2017-04-19 14:00:00,123813.5905511811
2017-04-19 16:00:00,113311.1968503937
2017-04-19 18:00:00,117255.49407114624
2017-04-19 20:00:00,166182.47244094487
2017-04-19 22:00:00,163849.4861660079
2017-04-20 00:00:00,147491.27559055117
