datetime,pm10
2017-04-17 16:00:00,188364.23529411765
2017-04-17 17:00:00,174851.06666666668
2017-04-17 18:00:00,107199.55905511811
2017-04-17 19:00:00,97258.69841269842
2017-04-17 20:00:00,117962.45669291339
2017-04-17 21:00:00,118054.11023622047
2017-04-17 22:00:00,118989.07086614173
2017-04-17 23:00:00,138869.85826771654
2017-04-18 00:00:00,119508.41269841269
2017-04-18 01:00:00,134563.87401574804
2017-04-18 02:00:00,106946.8031496063
2017-04-18 03:00:00,120570.55118110236
2017-04-18 04:00:00,126765.79527559056
2017-04-18 05:00:00,139578.9841269841
2017-04-18 06:00:00,151519.05511811023
2017-04-18 07:00:00,124184.69291338582
2017-04-18 08:00:00,120915.49606299213
2017-04-18 09:00:00,110723.65354330708
2017-04-18 10:00:00,167355.77777777778
2017-04-18 11:00:00,118681.70078740157
2017-04-18 12:00:00,123773.0
2017-04-18 13:00:00,119046.20472440944
2017-04-18 14:00:00,117241.1653543307
2017-04-18 15:00:00,188826.12698412698
2017-04-18 16:00:00,113472.38095238095
2017-04-18 17:00:00,86580.25196850394
2017-04-18 18:00:00,74309.1968503937
2017-04-18 19:00:00,95038.3937007874
2017-04-18 20:00:00,87976.15748031496
2017-04-18 21:00:00,124187.11111111111
2017-04-18 22:00:00,102338.96062992126
2017-04-18 23:00:00,68988.09448818897
2017-04-19 00:00:00,54599.90551181103
2017-04-19 01:00:00,51759.52755905512
2017-04-19 02:00:00,56982.69841269841
2017-04-19 03:00:00,95351.14960629921
2017-04-19 04:00:00,86950.55118110236
2017-04-19 05:00:00,100237.1653543307
2017-04-19 06:00:00,120466.3937007874
2017-04-19 07:00:00,116945.22834645669
2017-04-19 08:00:00,111144.19047619047
2017-04-19 09:00:00,116230.17322834645
2017-04-19 10:00:00,124954.51968503937
2017-04-19 11:00:00,137124.12598425196
2017-04-19 12:00:00,161900.16
2017-04-19 13:00:00,123212.47619047618
2017-04-19 14:00:00,117669.6062992126
2017-04-19 15:00:00,129957.5748031496
2017-04-19 16:00:00,123085.70078740157
2017-04-19 17:00:00,103536.69291338582
2017-04-19 18:00:00,103253.68253968254
2017-04-19 19:00:00,131147.05511811023
2017-04-19 20:00:00,166539.33858267716
2017-04-19 21:00:00,165825.6062992126
2017-04-19 22:00:00,159772.72440944883
2017-04-19 23:00:00,167958.60317460317
2017-04-20 00:00:00,147491.27559055117
