datetime,o3,temp,rs
2017-04-21 01:00:00,735.46875,19.775,9.388698816233778e-05
2017-04-21 01:30:00,732.1587301587301,19.841269841269842,9.496854958317869e-05
2017-04-21 02:00:00,733.96875,19.801562499999978,9.444741743752797e-05
2017-04-21 02:30:00,738.1269841269841,19.766666666666655,9.346375968758582e-05
2017-04-21 03:00:00,734.2539682539683,19.831746031746036,9.470639424602481e-05
2017-04-21 03:30:00,735.0,19.935937500000005,9.421751707595914e-05
2017-04-21 04:00:00,741.4285714285714,19.900000000000006,9.275892502176744e-05
2017-04-21 04:30:00,758.21875,19.901562500000004,8.843292874455462e-05
2017-04-21 05:00:00,734.6666666666666,19.901587301587302,9.420222099497993e-05
2017-04-21 05:30:00,736.2222222222222,19.834920634920607,9.394380743409977e-05
2017-04-21 06:00:00,747.8125,19.85000000000001,9.10666935855948e-05
2017-04-21 06:30:00,736.1904761904761,19.976190476190474,9.39730605921645e-05
2017-04-21 07:00:00,734.25,20.354687499999986,9.427836431806415e-05
2017-04-21 07:30:00,728.2539682539683,21.261904761904756,9.604116955089565e-05
2017-04-21 08:00:00,704.625,22.671874999999993,0.00010255853133660266
2017-04-21 08:30:00,692.1587301587301,24.387301587301593,0.00010654874354941709
2017-04-21 09:00:00,667.3650793650794,26.55714285714286,0.00011477199819722077
2017-04-21 09:30:00,643.90625,29.476562500000004,0.0001235474385214344
2017-04-21 10:00:00,609.5555555555555,32.55238095238095,0.0001382413082522787
2017-04-21 10:30:00,566.6875,36.5375,0.00016130192681457624
2017-04-21 11:00:00,518.5714285714286,39.69047619047619,0.00019208498398376158
2017-04-21 11:30:00,534.031746031746,40.226984126984135,0.00018177200525368488
2017-04-21 12:00:00,507.78125,41.88593750000003,0.00020110590333386526
2017-04-21 12:30:00,475.7142857142857,43.54444444444444,0.00023145995266773218
2017-04-21 13:00:00,424.3809523809524,47.72222222222222,0.00029303117304928933
2017-04-21 13:30:00,424.71875,50.30156250000001,0.0002941930930673157
2017-04-21 14:00:00,391.58730158730157,54.7984126984127,0.00035029271728092567
2017-04-21 14:30:00,392.3125,55.16562499999999,0.00035000069771661956
2017-04-21 15:00:00,407.4920634920635,51.43968253968252,0.00032428223832922605
2017-04-21 15:30:00,549.5238095238095,39.51904761904762,0.0001703255560273571
2017-04-21 16:00:00,542.4375,40.003125,0.00017440604377861132
2017-04-21 16:30:00,538.5396825396825,39.47460317460318,0.0001772680240327001
2017-04-21 17:00:00,532.6875,39.3,0.00018045669601921216
2017-04-21 17:30:00,550.5714285714286,37.588888888888874,0.0001692923403397588
2017-04-21 18:00:00,609.3333333333334,34.06825396825397,0.00013749629602554557
2017-04-21 18:30:00,620.75,30.446875,0.00013212434905683211
2017-04-21 19:00:00,656.8253968253969,26.441269841269843,0.00011787845472305309
2017-04-21 19:30:00,694.375,24.195312499999996,0.00010541272259763793
2017-04-21 20:00:00,703.3333333333334,23.207936507936502,0.00010251504599740143
2017-04-21 20:30:00,723.3015873015873,22.693650793650807,9.696645058507024e-05
2017-04-21 21:00:00,711.96875,22.30156250000002,0.00010003775378590532
2017-04-21 21:30:00,706.2222222222222,22.97777777777778,0.00010173752604073618
2017-04-21 22:00:00,711.46875,23.17812500000001,0.00010016678642716574
2017-04-21 22:30:00,712.8888888888889,22.884126984126976,9.97069464812839e-05
2017-04-21 23:00:00,713.015873015873,23.209523809523812,9.95995555991175e-05
2017-04-21 23:30:00,706.65625,23.321874999999984,0.00010157811712634078
2017-04-22 00:00:00,719.1746031746031,22.592063492063513,9.804997363880959e-05
2017-04-22 00:30:00,718.21875,22.129687500000024,9.832644022001149e-05
2017-04-22 01:00:00,725.2063492063492,21.61269841269841,9.646448800184651e-05
2017-04-22 01:30:00,731.59375,21.543749999999978,9.466307003335872e-05
2017-04-22 02:00:00,718.3174603174604,21.73333333333335,9.812793377561787e-05
2017-04-22 02:30:00,719.4603174603175,22.111111111111125,9.799664517262534e-05
2017-04-22 03:00:00,713.71875,22.218750000000004,9.950459001822684e-05
2017-04-22 03:30:00,726.7301587301587,22.33015873015874,9.569754366870405e-05
2017-04-22 04:00:00,705.40625,22.401562500000008,0.00010183811230483481
2017-04-22 04:30:00,708.7301587301587,22.226984126984156,0.00010082864629632388
2017-04-22 05:00:00,722.063492063492,22.296825396825373,9.724164263962869e-05
2017-04-22 05:30:00,723.71875,22.270312499999996,9.666711032499151e-05
2017-04-22 06:00:00,705.4920634920635,22.306349206349193,0.000101792165497011
2017-04-22 06:30:00,716.375,22.40156249999999,9.876874643755307e-05
2017-04-22 07:00:00,704.063492063492,22.247619047619065,0.00010208596536980407
2017-04-22 07:30:00,709.1428571428571,22.89206349206348,0.0001007061052719157
2017-04-22 08:00:00,700.96875,24.2,0.0001033113903946526
2017-04-22 08:30:00,639.047619047619,28.385714285714286,0.0001242166067709386
2017-04-22 09:00:00,598.5,34.60312499999999,0.00014353947908362025
2017-04-22 09:30:00,486.8888888888889,46.414285714285704,0.000222567913643282
2017-04-22 10:00:00,420.1904761904762,53.05238095238097,0.0002967104848602714
2017-04-22 10:30:00,432.875,49.540625,0.00027687435508967715
2017-04-22 11:00:00,398.44444444444446,50.966666666666676,0.0003253670019977213
2017-04-22 11:30:00,406.9375,50.52187500000001,0.0003167541610588357
2017-04-22 12:00:00,427.55555555555554,48.72380952380952,0.0002873897864099815
2017-04-22 12:30:00,386.57142857142856,52.804761904761904,0.0003522552048212997
2017-04-22 13:00:00,422.96875,50.245312500000004,0.0002940750841871523
2017-04-22 13:30:00,493.6507936507937,44.04761904761905,0.00021217703610189884
